rank	word
38	there
41	about
52	their
56	would
73	which
74	could
75	think
79	other
80	right
90	these
92	going
96	first
101	where
102	after
106	years
113	those
126	still
133	being
136	never
141	world
146	while
156	state
157	thing
158	three
160	every
161	great
166	again
171	might
176	house
180	since
186	place
192	doing
196	women
198	found
201	money
202	today
209	night
210	under
212	point
230	until
236	maybe
240	white
247	times
271	water
274	small
277	least
279	thank
280	story
281	power
282	group
287	woman
292	later
295	black
299	asked
310	young
311	often
334	start
338	whole
345	among
346	using
351	makes
352	early
355	study
359	human
363	along
378	party
379	child
385	sorry
388	given
390	means
392	obama
397	wrong
405	heard
411	large
413	sense
416	leave
417	order
418	music
424	comes
428	court
429	table
431	close
433	light
435	seems
442	words
452	death
453	local
454	hours
456	issue
459	front
466	needs
471	bring
472	level
473	major
475	clear
479	heart
481	taken
482	hands
487	known
492	based
502	looks
507	began
511	quite
524	cause
525	south
528	phone
532	north
534	lives
540	class
543	above
545	watch
549	wants
554	space
555	tried
562	media
565	field
570	alone
571	ready
573	weeks
576	voice
577	happy
581	guess
591	third
597	stuff
599	short
600	takes
603	force
614	works
615	month
620	whose
621	david
628	break
640	sound
641	learn
657	stand
658	press
660	knows
662	share
668	check
669	blood
679	model
680	games
682	truth
685	books
687	earth
692	terms
693	movie
695	video
708	shows
712	photo
719	green
720	fight
722	spent
724	wrote
735	board
736	paper
737	cases
740	value
741	agree
744	price
745	color
746	total
763	ahead
776	girls
777	drive
778	final
781	moved
786	focus
787	areas
806	speak
812	write
827	china
834	offer
837	begin
843	seven
847	worth
849	floor
850	lower
851	miles
861	staff
873	brown
875	piece
879	chief
880	legal
910	cover
914	eight
918	allow
922	calls
929	james
935	texas
941	trade
942	below
945	sleep
946	spend
951	trump
964	trust
969	store
972	judge
973	added
977	costs
979	plans
980	build
982	rules
985	event
987	image
1001	older
1012	ideas
1013	union
1022	range
1025	built
1035	jesus
1038	march
1039	meant
1054	peace
1056	visit
1068	scene
1071	river
1076	loved
1078	lived
1089	daily
1090	reach
1092	worse
1094	hello
1095	worry
1100	lines
1102	shall
1104	gives
1106	coach
1119	crazy
1126	brain
1128	parts
1138	stage
1147	named
1155	stood
1163	crime
1166	civil
1176	rates
1178	radio
1182	clean
1214	touch
1219	smith
1220	mouth
1229	faith
1233	dream
1238	turns
1253	serve
1274	funny
1279	april
1282	claim
1287	fresh
1292	doubt
1294	glass
1295	tough
1302	basic
1311	quick
1316	sales
1323	drink
1324	shown
1328	avoid
1329	track
1331	drugs
1334	peter
1336	style
1340	trial
1349	title
1355	enjoy
1363	stock
1375	taxes
1378	heavy
1380	round
1390	steps
1392	stars
1394	labor
1396	alive
1406	teams
1407	names
1409	basis
1410	hotel
1413	plant
1437	raise
1438	truly
1453	spoke
1461	catch
1467	notes
1475	sweet
1477	worst
1480	trees
1482	feels
1484	folks
1496	ended
1498	carry
1499	extra
1501	speed
1507	items
1518	beach
1523	dance
1540	tells
1545	aware
1552	fully
1557	chris
1560	chair
1565	block
1570	homes
1572	smile
1582	twice
1587	throw
1594	apple
1607	smart
1620	liked
1624	types
1629	frank
1647	grand
1648	broke
1652	quiet
1654	sides
1655	moral
1657	scale
1661	train
1668	steve
1672	cells
1690	sites
1698	teach
1703	forms
1707	count
1711	noted
1713	stone
1719	guard
1723	birth
1727	crowd
1737	shape
1743	jones
1746	agent
1763	plays
1770	scott
1778	apart
1780	goals
1781	honey
1788	prove
1793	cross
1796	funds
1802	users
1804	honor
1806	facts
1811	plane
1824	exist
1829	dress
1830	novel
1833	favor
1841	abuse
1844	views
1845	empty
1857	tests
1866	stick
1870	yards
1874	signs
1875	japan
1877	coast
1879	proud
1881	angry
1883	helps
1888	kinds
1890	lucky
1892	prior
1893	storm
1901	heads
1906	lunch
1907	shoot
1914	aside
1930	banks
1931	tired
1932	truck
1936	waste
1942	match
1958	score
1960	harry
1966	youth
1974	larry
1979	mayor
1985	grade
1989	tools
1992	equal
1994	pages
2001	adult
2003	owner
2008	walls
2012	lying
2018	guide
2025	henry
2026	apply
2031	taste
2036	blame
2044	shoes
2048	faces
2064	sugar
2068	enter
2069	urban
2071	yours
2078	email
2086	prime
2093	keeps
2107	stuck
2119	super
2123	grown
2124	magic
2132	shift
2140	horse
2141	leads
2148	songs
2149	argue
2155	treat
2157	votes
2162	usual
2164	grace
2166	smoke
2171	likes
2176	uncle
2177	forth
2179	cards
2182	bunch
2193	chest
2198	daddy
2206	talks
2210	fired
2212	ought
2214	doors
2215	laugh
2224	admit
2225	sight
2236	moves
2248	giant
2250	sport
2256	grant
2257	false
2261	saved
2269	weird
2275	ocean
2278	india
2280	tight
2281	solid
2298	kevin
2301	smell
2305	metal
2306	fault
2314	holds
2329	dozen
2330	print
2345	sarah
2357	louis
2358	paris
2363	limit
2369	brian
2372	davis
2391	voted
2398	finds
2402	woods
2417	films
2420	dying
2423	enemy
2431	teeth
2434	upset
2436	panel
2447	album
2448	solar
2451	fewer
2453	broad
2455	trail
2456	upper
2457	chose
2459	loves
2461	paint
2468	cream
2470	thick
2478	birds
2479	bible
2488	shirt
2490	brief
2503	drove
2506	frame
2508	brand
2512	hopes
2516	anger
2521	topic
2524	bills
2525	armed
2535	guest
2536	buddy
2537	tears
2543	falls
2548	jimmy
2560	occur
2562	queen
2564	award
2565	santa
2589	noise
2592	click
2602	rooms
2618	route
2620	jerry
2623	plate
2624	drawn
2625	joint
2631	korea
2638	susan
2649	quote
2652	sharp
2665	shots
2671	kelly
2672	threw
2676	shook
2696	cheap
2717	split
2727	rural
2731	fruit
2732	mixed
2738	actor
2739	bread
2743	units
2758	theme
2761	faced
2770	hired
2773	chain
2780	steel
2781	fixed
2783	proof
2784	goods
2792	foods
2804	blind
2808	iraqi
2816	begun
2826	minds
2831	bitch
2833	owned
2834	cycle
2844	fifth
2848	posts
2855	draft
2858	billy
2893	error
2900	dirty
2901	filed
2908	shock
2914	loose
2917	phase
2920	polls
2921	links
2928	minor
2944	trend
2953	risks
2971	roger
2989	solve
2993	pants
2996	cable
3000	grass
3007	jason
3012	files
3019	nurse
3022	walks
3023	seats
3036	pilot
3045	clark
3048	knife
3053	exact
3073	asian
3084	crash
3090	hurry
3092	lewis
3097	roles
3102	firms
3103	miami
3105	ideal
3106	entry
3109	plain
3134	tries
3141	shame
3164	simon
3168	cloud
3173	bruce
3186	opens
3189	awful
3200	drunk
3202	inner
3208	pride
3209	royal
3216	waves
3226	hills
3239	allen
3241	rough
3246	skill
3254	latin
3263	swing
3285	drama
3288	angel
3296	knees
3301	loans
3303	stops
3304	syria
3308	nancy
3313	marry
3319	bears
3328	sauce
3342	hoped
3343	sighs
3345	bones
3354	juice
3363	sandy
3364	clock
3379	bobby
3380	index
3397	deals
3401	egypt
3430	roads
3431	roman
3449	islam
3472	sheet
3481	danny
3507	prize
3515	roots
3519	creek
3543	moore
3547	fraud
3551	wheel
3559	rocks
3570	marks
3576	bound
3578	chase
3580	relax
3583	angle
3589	shake
3603	logic
3607	flash
3622	naked
3626	virus
3627	tower
3645	holes
3662	thats
3664	crack
3665	newly
3666	silly
3670	barry
3672	italy
3680	humor
3684	elite
3687	badly
3693	pitch
3704	tasks
3716	parks
3719	terry
3738	vital
3744	trick
3746	depth
3751	carly
3755	saudi
3757	boots
3760	mount
3790	genes
3792	males
3795	linda
3806	ships
3816	hence
3824	diego
3825	fancy
3826	motor
3839	bonds
3840	boxes
3846	laura
3850	flesh
3854	knock
3872	alien
3875	cited
3882	races
3883	tommy
3899	greek
3902	fifty
3904	balls
3907	spots
3919	gifts
3922	baker
3926	wound
3931	vegas
3936	karen
3941	fears
3951	label
3957	gains
3967	scary
3969	strip
3974	sorts
3979	shore
3980	gross
3982	gates
4002	delay
4008	hated
4009	irish
4013	wings
4019	scope
4025	layer
4026	steal
4039	ratio
4042	candy
4044	aimed
4052	forum
4057	bucks
4064	rapid
4065	trips
4076	eddie
4081	lists
4089	bench
4092	couch
4093	roker
4108	dates
4111	swear
4117	pulls
4118	spain
4122	refer
4134	fence
4149	devil
4150	shell
4156	ghost
4157	alice
4162	climb
4181	seeds
4184	cried
4187	lands
4196	essay
4212	perry
4213	fiber
4219	maria
4220	trash
4228	chart
4234	chuck
4240	stake
4242	idiot
4243	acres
4244	salad
4246	pizza
4248	ruled
4257	adams
4259	slide
4260	peers
4263	sweat
4269	texts
4270	robin
4273	brush
4278	corps
4285	cares
4298	craft
4322	towns
4336	wayne
4338	grave
4344	slept
4356	sixth
4363	rings
4368	olive
4372	reply
4386	cents
4389	saint
4393	nixon
4394	meals
4400	drops
4401	valid
4407	diane
4411	reads
4412	beans
4415	voter
4424	eager
4432	picks
4435	globe
4437	emily
4454	alert
4464	panic
4468	clubs
4487	boost
4500	helen
4512	guilt
4518	glory
4533	aaron
4536	annie
4539	flood
4543	supra
4548	yield
4553	chaos
4567	brave
4586	wells
4588	winds
4591	craig
4593	calif
4605	jesse
4623	cliff
4625	aging
4628	spare
4629	julie
4635	mommy
4654	suits
4660	habit
4671	arena
4676	lemon
4677	carol
4684	trace
4686	porch
4694	stole
4699	piano
4704	chips
4713	ethan
4721	audio
4723	comic
4727	ranks
4736	kerry
4737	mouse
4747	amber
4758	slave
4769	wages
4786	rally
4791	pause
4795	burst
4804	opera
4816	jeans
4821	cohen
4823	meets
4834	fires
4836	spell
4851	punch
4858	jokes
4871	input
4874	cabin
4877	alarm
4885	jacob
4887	joins
4888	blues
4889	oscar
4921	pound
4940	crown
4941	shops
4951	jamie
4953	sword
4956	adopt
4967	lobby
4986	ranch
4988	maine
4995	beast
5006	wider
5011	backs
5016	burns
5021	dried
5047	awake
5054	twins
5058	camps
5059	nasty
5061	keith
5068	bands
5080	unity
5081	forty
5083	lover
5085	acted
5092	tiger
5093	harsh
