* Top 60,000 lemmas, with word forms for each lemma
* This word frequency data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete word frequency data from COCA, please see https://www.wordfrequency.info
* For instructions on using this file in Excel, see https://www.wordfrequency.info/freqTxtToExcel.pdf
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp
----- Before converting file to Excel, remove the first eight lines, with the first line being the one starting with "rank"

lemRank	lemma	PoS	lemFreq	wordFreq	word
1	the	a	50033612	50033323	the
1	the	a	50033612	287	ze
2	be	v	32394756	10093608	is
2	be	v	32394756	6848519	was
2	be	v	32394756	6303682	's
2	be	v	32394756	5047210	be
2	be	v	32394756	4983145	are
2	be	v	32394756	2378665	were
2	be	v	32394756	1957882	're
2	be	v	32394756	1874157	been
2	be	v	32394756	1716283	'm
2	be	v	32394756	711507	being
2	be	v	32394756	448411	am
2	be	v	32394756	9826	s
3	and	c	24778098	24778098	and
4	a	a	24225478	21166065	a
4	a	a	24225478	3059411	an
5	of	i	23159162	23159162	of
6	to	t	16770155	16257508	to
6	to	t	16770155	431893	na
6	to	t	16770155	80754	ta
7	in	i	15670692	15670692	in
8	I	p	14217601	14217601	i
9	you	p	12079413	12053228	you
9	you	p	12079413	25316	ya
9	you	p	12079413	440	
9	you	p	12079413	440	youse
9	you	p	12079413	429	yous
10	it	p	11042044	11042044	it
10	it	p	11042044	342	
11	have	v	10514314	5023456	have
11	have	v	10514314	2723573	had
11	have	v	10514314	2443889	has
11	have	v	10514314	1015706	've
11	have	v	10514314	784592	'd
11	have	v	10514314	318547	having
11	have	v	10514314	4804	hath
11	have	v	10514314	41	haveing
12	to	i	9232572	9232572	to
13	that	c	8319512	8319510	that
14	for	i	8194970	8194970	for
15	do	v	8186412	4501047	do
15	do	v	8186412	1889734	did
15	do	v	8186412	964997	does
15	do	v	8186412	461455	doing
15	do	v	8186412	356317	done
15	do	v	8186412	9657	doin
15	do	v	8186412	1655	doth
15	do	v	8186412	1548	don
16	he	p	6467470	6467470	he
16	he	p	6467470	195	
17	with	i	6442861	6442861	with
18	on	i	6080156	6080156	on
19	this	d	5541355	5541355	this
